Name,Origin,Impact,Link
"Distracted Boyfriend","A stock photo from 2015 depicting a man looking at another woman while holding his partner's hand.","Used to represent infidelity or distraction, it became a widely recognized meme symbolizing various forms of temptation.","https://knowyourmeme.com/memes/distracted-boyfriend"
"Doge","2010 photograph of a Shiba Inu dog accompanied by multicolored text in Comic Sans font representing the dog's inner monologue.","Popularized phrases like 'such wow' and led to the creation of Dogecoin, a cryptocurrency.","https://knowyourmeme.com/memes/doge"
"Pepe the Frog","Created by Matt Furie in 2005 for his comic 'Boy's Club.'","Initially a harmless meme, it was later co-opted by various internet groups, leading to controversial associations.","https://knowyourmeme.com/memes/pepe-the-frog"
"Success Kid","2007 photo of a toddler clenching his fist with a determined facial expression.","Used to convey personal success or achievement.","https://knowyourmeme.com/memes/success-kid-i-hate-sandcastles"
"Grumpy Cat","2012 photo of a cat named Tardar Sauce with a distinct frown.","Became a symbol for displeasure and spawned a wide range of merchandise and media appearances.","https://knowyourmeme.com/memes/grumpy-cat"
"Bad Luck Brian","2012 yearbook photo of Kyle Craven wearing braces and a vest.","Represents a person who experiences frequent misfortune.","https://knowyourmeme.com/memes/bad-luck-brian"
"Roll Safe","Screenshot from the 2016 web series 'Hood Documentary' featuring actor Kayode Ewumi pointing to his temple.","Used to depict flawed logic or clever thinking.","https://knowyourmeme.com/memes/roll-safe"
"Mocking SpongeBob","2017 image of SpongeBob SquarePants from the episode 'Little Yellow Book,' where he mimics a chicken.","Employed to mock or imitate someone in a sarcastic manner.","https://knowyourmeme.com/memes/mocking-spongebob"
"Is This a Pigeon?","Scene from the 1991 anime 'The Brave Fighter of Sun Fighbird,' where a character mistakes a butterfly for a pigeon.","Used to question misidentifications or misconceptions.","https://knowyourmeme.com/memes/is-this-a-pigeon"
"Woman Yelling at a Cat","Combination of a 2011 'Real Housewives' screenshot and a 2018 photo of a confused-looking cat named Smudge.","Highlights misunderstandings or mismatched reactions.","https://knowyourmeme.com/memes/woman-yelling-at-a-cat"
"Expanding Brain","2017 image series depicting the human brain expanding in relation to the depth of thought.","Satirizes the perceived complexity or intelligence of various ideas.","https://knowyourmeme.com/memes/expanding-brain"
